client_id,age,gender,employment_status,annual_income,debt_to_income_ratio,financial_knowledge_score,investment_goals,risk_appetite,investment_horizon_years,dependents,preferred_asset_classes,savings_rate,net_worth
da7ab453-9f00-4b15-bc5c-2cee2f69eda2,27,Male,Unemployed,43642.53,0.13,4,Retirement,Medium,29,3,"['Stocks', 'Bonds']",0.23,316575.75
c016931a-2824-4ebd-8945-608c16137087,63,Other,Unemployed,101297.38,0.28,4,Retirement,Medium,15,3,"['Real Estate', 'ETFs']",0.29,340452.73
d2e9c309-35a3-40b7-9ccb-6ae2e038a377,39,Other,Salaried,44774.14,0.16,5,Retirement,Medium,8,0,"['Real Estate', 'Mutual Funds']",0.06,167601.68
a6959c14-afe2-445a-b741-1372f72a18b1,60,Female,Salaried,51062.37,0.3,2,Education,Medium,7,1,"['ETFs', 'Stocks']",0.06,262219.8
9a54770b-3231-4732-908b-c0a6783425af,52,Other,Retired,29326.79,0.51,3,Wealth Accumulation,Medium,3,3,"['Stocks', 'Mutual Funds']",0.09,72989.61
5b63951e-cd39-4d24-8107-37b96872826a,37,Other,Self-Employed,49919.65,0.4,7,Wealth Accumulation,Medium,17,0,"['Bonds', 'Stocks']",0.21,179237.13
1bf91aa3-9c2d-44c8-bffa-2f36a98fc2b9,26,Female,Salaried,80058.17,0.47,1,Retirement,High,9,0,"['Mutual Funds', 'Bonds']",0.16,749787.29
386de91b-3783-451d-b25a-da29302dd1db,25,Other,Salaried,89285.21,0.13,10,Retirement,Medium,24,3,"['Stocks', 'Bonds']",0.15,595297.72
30ebae4a-ef30-4c77-96ae-e7f0fabc6ed2,59,Female,Self-Employed,47534.49,0.57,4,Education,Medium,23,0,"['Real Estate', 'ETFs']",0.1,333679.91
c5acd8d9-f563-4809-bafa-c614a9fa86b7,62,Other,Self-Employed,59939.96,0.48,7,Education,Medium,20,1,"['Mutual Funds', 'ETFs']",0.16,396344.59
e3c4c565-3017-46cf-adb3-1a2d33fd278f,25,Female,Salaried,75621.71,0.27,3,Wealth Accumulation,Low,8,0,"['Mutual Funds', 'Stocks']",0.13,621243.69
df05a695-db52-4b55-9e75-1b62e5dbac22,36,Male,Self-Employed,55083.54,0.42,6,Retirement,Low,21,2,"['Stocks', 'Bonds']",0.16,176018.9
85c545f0-8da4-4aae-9ea4-5635c726f05c,46,Male,Retired,79671.49,0.5,8,Retirement,Medium,4,2,"['Mutual Funds', 'ETFs']",0.24,234556.71
b6cfccc1-522d-488b-a6c8-8b71f79d49fa,63,Male,Unemployed,109060.05,0.24,2,Wealth Accumulation,Medium,24,1,"['ETFs', 'Bonds']",0.21,852647.59
b82e27fc-1a0a-4538-ac9f-b8722d9da39a,32,Other,Unemployed,60640.44,0.3,6,Education,Medium,5,1,"['ETFs', 'Stocks']",0.24,593155.07
95ac0266-c2e3-4441-8ca5-0bf08e384c15,53,Other,Salaried,45454.04,0.41,9,Retirement,Medium,10,2,"['Mutual Funds', 'Stocks']",0.21,117055.69
b3531135-01fe-4721-b9c3-3cfa49c70402,42,Male,Unemployed,42882.66,0.58,5,Wealth Accumulation,Medium,16,3,"['Mutual Funds', 'ETFs']",0.3,151362.24
a54de3a4-3038-4288-8f21-cffd9e8fcdb7,36,Male,Unemployed,61603,0.39,9,Retirement,Low,29,0,"['Real Estate', 'Stocks']",0.06,162981.06
aa628119-00fe-4038-97e3-5dc214371deb,59,Male,Self-Employed,38827.47,0.25,8,Home Purchase,Medium,10,3,"['Bonds', 'ETFs']",0.12,305386.76
c210f73b-ee0d-4ac9-ad34-07e8c77f390f,55,Male,Unemployed,109840.72,0.46,2,Retirement,High,14,2,"['Mutual Funds', 'ETFs']",0.06,415716.39
6a195232-2a3a-44ec-ae6d-fbc00f775212,62,Other,Unemployed,78475.72,0.59,10,Wealth Accumulation,Low,20,1,"['Bonds', 'Stocks']",0.23,440083.36
469b3f7a-9b65-4e94-b1f1-6c1f77fd520b,34,Other,Salaried,67349.65,0.35,1,Education,Low,11,0,"['Real Estate', 'ETFs']",0.06,315496.58
b3cd3322-965a-443e-b440-774d3d7af7d6,46,Other,Self-Employed,71868.15,0.53,7,Retirement,High,7,3,"['Stocks', 'Bonds']",0.11,693337.23
6dd7fb33-b449-4230-aaea-590eb1ae5586,43,Male,Self-Employed,163226.38,0.4,5,Home Purchase,Low,24,0,"['Real Estate', 'Bonds']",0.09,1577204.68
d028f6c4-ab68-416a-8e04-e360a0bda5bc,56,Male,Salaried,83573.16,0.23,3,Home Purchase,Medium,6,2,"['Real Estate', 'Mutual Funds']",0.21,231724.09
71af5658-6a76-41b9-a4ab-dd4196e94777,28,Male,Retired,67324.49,0.37,8,Wealth Accumulation,Low,6,1,"['Bonds', 'Mutual Funds']",0.16,404726.51
7d66fdf1-27d5-4b91-82f1-b6348c42bc5a,55,Male,Salaried,84204.63,0.27,10,Home Purchase,Medium,28,0,"['Real Estate', 'Stocks']",0.16,469256.84
186b4275-55e9-4f7a-abb9-cefc2dfd12a6,64,Male,Retired,55946.45,0.36,3,Wealth Accumulation,High,13,0,"['Stocks', 'Bonds']",0.25,461326.7
004db221-85da-482b-97e1-2063e3d2a7e4,55,Male,Unemployed,91161.29,0.59,2,Education,Medium,25,3,"['Real Estate', 'Stocks']",0.13,261528.91
60146042-3087-4df3-b1a2-2696ff2c6f03,39,Other,Retired,133507.41,0.27,8,Retirement,High,24,0,"['Bonds', 'Mutual Funds']",0.18,416456.58
b9998efb-3ecf-4af2-bfad-f9771178de8e,57,Male,Self-Employed,77180.28,0.3,1,Education,Low,4,2,"['Bonds', 'Mutual Funds']",0.09,320619.49
3ef03aab-7f48-48b5-b05d-9e9af9cc2348,39,Other,Retired,106071.56,0.21,5,Home Purchase,Low,4,3,"['Stocks', 'Real Estate']",0.26,800727.96
8f788913-0abb-4774-839d-dfa8e1f53909,41,Female,Salaried,83506.9,0.32,9,Retirement,Medium,20,2,"['Bonds', 'Mutual Funds']",0.1,598416.84
a68108ee-d48a-41e7-bfa7-e4b10264c01f,35,Female,Unemployed,64712.92,0.37,10,Retirement,Low,20,0,"['Bonds', 'Stocks']",0.18,371095.41
536b6a7f-07f0-4c16-872b-8dae2d2dcdfb,33,Other,Self-Employed,81419.58,0.3,1,Home Purchase,Low,6,3,"['Mutual Funds', 'Real Estate']",0.15,588589
fc6c4749-429a-4675-b6d4-078761cbe331,63,Male,Retired,91268.53,0.46,3,Wealth Accumulation,Medium,20,2,"['Stocks', 'Mutual Funds']",0.11,427216.93
9c1244cd-9467-4c02-9a4f-0df5157c0048,32,Female,Self-Employed,61336.28,0.27,4,Wealth Accumulation,High,18,3,"['Bonds', 'ETFs']",0.07,333760.57
0bcdcd7d-b2a8-4019-b253-52f72d12f3aa,35,Other,Retired,130228.26,0.3,4,Home Purchase,High,28,2,"['Bonds', 'Mutual Funds']",0.19,1252588.94
742736a0-4881-478e-80de-31cd0e0923ce,50,Other,Salaried,74086.02,0.32,8,Home Purchase,High,7,3,"['ETFs', 'Bonds']",0.13,330597.16
1dde6328-df51-46f6-9e12-246a74844ed3,54,Female,Retired,69416.37,0.19,4,Education,High,7,0,"['Bonds', 'Real Estate']",0.13,452712.36
13aa032c-6776-4ea6-b841-f1bcbb29ebc6,29,Male,Unemployed,99696.54,0.29,10,Education,Low,10,1,"['Stocks', 'Mutual Funds']",0.13,319616.73
2672e7f0-8afd-446a-ac43-19cb3998aa96,58,Other,Unemployed,97373.25,0.18,10,Education,High,6,3,"['Stocks', 'Mutual Funds']",0.14,228409.37
d1889ccb-7830-4945-98de-14f88c1d5440,33,Female,Salaried,68236.02,0.27,2,Retirement,Medium,10,0,"['Mutual Funds', 'Real Estate']",0.22,319933.25
79efd283-640f-4d52-8eab-2c4d83462f60,27,Other,Salaried,74300.76,0.5,3,Home Purchase,High,20,1,"['Bonds', 'Mutual Funds']",0.07,612792.95
26fecb45-4c59-4a34-acdc-0e93eb9ee45d,62,Female,Salaried,48827.17,0.55,2,Wealth Accumulation,Medium,28,0,"['Stocks', 'Mutual Funds']",0.24,184240.09
b41525eb-cd18-491e-a26d-de184b58ef6b,51,Other,Salaried,55582.65,0.59,5,Education,Medium,10,0,"['ETFs', 'Mutual Funds']",0.28,440899.43
eb794c0f-f157-451b-9b40-4f824d255cd6,28,Female,Self-Employed,93953.62,0.27,7,Wealth Accumulation,Medium,9,3,"['ETFs', 'Bonds']",0.16,916665.67
ccfe58fe-33ee-4f8e-9c4e-818669d429fd,46,Female,Unemployed,41679.8,0.42,7,Retirement,Medium,11,0,"['Bonds', 'ETFs']",0.18,307415.58
130aa78e-7d13-40b0-a529-05b45bbac47a,50,Other,Retired,73067.69,0.3,1,Home Purchase,Medium,18,3,"['Bonds', 'ETFs']",0.21,374221.12
607e0b5f-82f1-4831-bc7f-cee8cddf7418,53,Other,Self-Employed,56108.08,0.27,1,Retirement,Low,13,2,"['Real Estate', 'Mutual Funds']",0.23,475315.02
4e72a051-dcea-4edc-96d7-ff12f74247c7,45,Male,Retired,33444.12,0.57,2,Wealth Accumulation,High,4,0,"['Bonds', 'Stocks']",0.3,257255.62
5b1b8e82-d74e-464d-bd51-987d86a3dd19,42,Female,Salaried,102807.31,0.5,5,Home Purchase,Medium,17,3,"['Real Estate', 'Bonds']",0.21,898156.56
d68920f0-77b8-49dd-a990-8f8201fd2e7f,55,Female,Unemployed,65788.69,0.59,7,Home Purchase,Low,26,0,"['Stocks', 'Real Estate']",0.12,317242.78
554381a6-4245-4225-b54b-caff4d839076,27,Male,Self-Employed,98278.16,0.46,10,Home Purchase,Low,3,0,"['Bonds', 'Stocks']",0.18,633989.66
d2ba9f9c-7886-4314-8b3a-908b84def1cb,29,Female,Retired,81374.62,0.54,5,Home Purchase,Medium,20,3,"['Real Estate', 'ETFs']",0.29,695120.16
98b8d3b6-6ec7-4055-a013-48c3699378a6,60,Other,Unemployed,60360.84,0.24,8,Wealth Accumulation,Medium,4,0,"['ETFs', 'Real Estate']",0.11,216130.89
3e96b177-66b7-4658-967a-f937d01d8844,32,Male,Retired,40103.37,0.53,10,Home Purchase,Medium,29,2,"['Mutual Funds', 'ETFs']",0.28,371660.77
b61dfb30-5e9d-4c7b-baa1-a182b9420e71,54,Female,Self-Employed,88620.17,0.17,10,Education,Medium,9,2,"['Real Estate', 'Stocks']",0.06,816832.8
f09fa174-5657-4173-be47-678774398e13,46,Male,Unemployed,81496.96,0.46,10,Wealth Accumulation,Medium,11,1,"['Stocks', 'ETFs']",0.15,283366.37
86ad46bc-d37c-4451-b7db-1109f7f2e6b9,51,Other,Unemployed,89154.03,0.31,8,Home Purchase,Low,5,3,"['ETFs', 'Real Estate']",0.18,436826.11
e55576bb-c08f-4fbd-a933-4e45b34e4e53,31,Other,Salaried,113799.79,0.36,8,Home Purchase,Medium,18,0,"['Mutual Funds', 'Real Estate']",0.08,1049035.21
cfb1ba49-1de7-473f-83f1-521756ae109e,62,Female,Self-Employed,117978.5,0.2,1,Home Purchase,Low,11,3,"['ETFs', 'Real Estate']",0.29,922056.06
d8cdf07d-7c70-456f-8c3b-510621e8358c,59,Female,Unemployed,40016.42,0.37,1,Wealth Accumulation,High,5,0,"['Bonds', 'Stocks']",0.1,94436.66
27e17a1c-2191-45a4-a328-dcb1908de1dc,42,Other,Salaried,45958.47,0.39,9,Retirement,Medium,21,0,"['Bonds', 'ETFs']",0.05,175777.46
a87563e8-43dc-448d-9ba8-037934f1019d,35,Female,Unemployed,75318.93,0.26,2,Education,Low,8,1,"['Mutual Funds', 'Real Estate']",0.19,550559.24
a2da5843-2191-49db-88ba-b232fa6a533b,45,Female,Retired,37373.2,0.29,3,Home Purchase,Low,21,2,"['Stocks', 'ETFs']",0.07,108579.31
78379ca7-5211-4e48-ab6d-48af359d7a40,50,Other,Salaried,51664.52,0.32,3,Education,Low,21,2,"['Stocks', 'Real Estate']",0.28,340792.98
7af1ce3f-1db9-4bd6-9cd4-400b0b909cbd,57,Male,Self-Employed,77037.68,0.35,4,Retirement,Medium,17,0,"['Bonds', 'Real Estate']",0.18,595081.96
0dc30a9c-440f-426a-a08b-c10593b6f9f1,41,Male,Self-Employed,98641.52,0.49,9,Home Purchase,Medium,9,1,"['Mutual Funds', 'Bonds']",0.25,649272.61
9c6263fc-4ef9-42a3-9693-a6b3cd953ecc,27,Other,Salaried,63251.56,0.19,8,Wealth Accumulation,High,7,3,"['Stocks', 'Real Estate']",0.28,412627.49
44979478-9b6c-443e-a034-0690551127ed,35,Other,Unemployed,54223.8,0.37,4,Home Purchase,High,13,3,"['Bonds', 'Stocks']",0.16,304244.22
62a7a56e-da49-41b4-8b28-7cf179e4ad46,32,Other,Self-Employed,65638.73,0.55,3,Retirement,Medium,25,1,"['Mutual Funds', 'Stocks']",0.17,447726.76
cb113975-5b74-4f51-a598-145d0630a68b,58,Other,Salaried,105919.3,0.12,7,Education,Medium,3,0,"['Mutual Funds', 'Stocks']",0.1,987894.69
dee403d9-fee4-4abb-aa0d-d37be72f95fb,37,Female,Salaried,33963.96,0.11,7,Home Purchase,High,11,3,"['Stocks', 'ETFs']",0.16,188578.41
9226f829-1633-47ff-8d87-3c1b7bbc39c5,57,Other,Unemployed,69822.58,0.38,4,Wealth Accumulation,Medium,10,1,"['Real Estate', 'Mutual Funds']",0.27,556240.32
67cf8ea8-a9a2-4dfe-a30f-4857e9dbbdfc,64,Other,Unemployed,81080,0.28,6,Home Purchase,Medium,12,3,"['Real Estate', 'Mutual Funds']",0.15,650765.42
3f63ac11-1fb4-4671-a153-fc3e259cd1f1,45,Male,Salaried,74188.21,0.55,10,Education,High,29,2,"['Bonds', 'ETFs']",0.1,312313.47
c49304fc-28c1-42d7-99dc-e12607e84f11,27,Other,Unemployed,92418.95,0.19,4,Education,Low,11,0,"['Mutual Funds', 'Bonds']",0.27,265510.51
f49424a9-cd58-4497-8208-8176cb2cce31,33,Female,Retired,66353.06,0.32,6,Education,Low,7,2,"['Real Estate', 'Mutual Funds']",0.12,655069.03
7b6c6cf7-55ce-4941-9ba2-dae5010763f3,63,Other,Self-Employed,80776.45,0.56,7,Retirement,Low,16,3,"['ETFs', 'Real Estate']",0.11,493447.42
78bb059a-0151-4ccb-a3dd-d85d653df555,57,Male,Unemployed,96238.05,0.13,9,Home Purchase,Medium,17,1,"['Stocks', 'Real Estate']",0.24,857137.87
60f46148-af91-4dd2-9545-12a50bbf0aa9,33,Female,Self-Employed,110556.46,0.38,1,Education,Medium,25,2,"['Mutual Funds', 'ETFs']",0.21,234931.4
910ecd71-0a39-4e99-9425-fbda1749c3c3,39,Female,Unemployed,100384.54,0.28,4,Education,Medium,27,3,"['ETFs', 'Mutual Funds']",0.11,641509.68
8afaca87-844f-4628-8220-d26aef8a2ef4,42,Male,Salaried,74164.9,0.39,3,Wealth Accumulation,Medium,17,1,"['Real Estate', 'Bonds']",0.25,219022.71
69247e78-b309-4e8d-97a8-5919f9e4c694,50,Other,Unemployed,78842.44,0.13,7,Education,Medium,20,3,"['Real Estate', 'Mutual Funds']",0.24,648700.98
2f976efe-3648-441b-a7c9-528325235f6a,52,Male,Retired,101467.38,0.41,4,Wealth Accumulation,Medium,13,0,"['Mutual Funds', 'Stocks']",0.21,322210.07
242d265e-f85e-43e8-a5e0-d870d7b728fb,32,Male,Retired,65022.75,0.42,9,Retirement,High,21,1,"['Real Estate', 'Mutual Funds']",0.24,296912.5
bcac6260-5506-41ea-9491-684e6d8289f2,32,Male,Unemployed,64625.57,0.2,7,Retirement,High,25,1,"['Real Estate', 'Mutual Funds']",0.2,361206.58
8d5ce979-d421-4354-916c-6880cbbde881,62,Female,Retired,81221.11,0.25,4,Wealth Accumulation,High,21,1,"['Mutual Funds', 'ETFs']",0.11,390274.63
6024cb8f-28cb-4b64-9e07-4956f22ea2e3,28,Male,Unemployed,94478.9,0.31,9,Home Purchase,Low,21,2,"['Stocks', 'Bonds']",0.1,928488.91
7e496f6f-0596-4c2e-b0f1-0fbf4b8a02c5,50,Other,Retired,76817.17,0.52,7,Retirement,High,13,3,"['Stocks', 'ETFs']",0.27,414201.93
a1a1c8e0-c411-4057-a211-f72614d0857e,60,Other,Self-Employed,85465.54,0.28,9,Home Purchase,Medium,9,2,"['ETFs', 'Mutual Funds']",0.28,198283.08
827d65a6-5afd-4918-a617-bd59039f0b86,57,Female,Retired,114762.04,0.23,5,Retirement,Medium,26,0,"['Stocks', 'Bonds']",0.15,1061729.11
f774ea77-48bc-4f62-a9cc-2fcdfb0f8958,40,Female,Salaried,50351.34,0.1,1,Wealth Accumulation,Low,25,0,"['Real Estate', 'Stocks']",0.15,481797.81
f626f157-d3c0-4af5-b004-1bca16abd087,33,Female,Unemployed,43976.96,0.4,5,Home Purchase,Low,22,3,"['Bonds', 'Mutual Funds']",0.1,313317.11
a9928f8b-7043-470c-8795-1eb30281f1a5,40,Other,Unemployed,102639.02,0.55,2,Retirement,Medium,22,3,"['Mutual Funds', 'Bonds']",0.26,829268.44
a2d5818c-c166-450e-abb9-7f04edde1b48,39,Other,Self-Employed,74246.85,0.14,1,Wealth Accumulation,High,27,3,"['Bonds', 'Stocks']",0.23,492743.29
f3150add-fd13-46e9-a790-34f1f22fe45a,54,Female,Retired,76079.53,0.24,3,Home Purchase,Low,29,3,"['Mutual Funds', 'ETFs']",0.24,220147.45
8ca8c172-d16a-40ad-9ebb-4f9b02977a9e,45,Other,Unemployed,68577.75,0.4,3,Home Purchase,Low,8,1,"['Stocks', 'ETFs']",0.09,162740.42
b77860c9-fe2a-445d-965c-67530074bcc1,33,Other,Retired,64646.94,0.57,10,Retirement,Low,24,3,"['Real Estate', 'Stocks']",0.25,397335.49
7494e3d3-2d9b-4175-8839-c82133a2ca05,44,Other,Retired,35966.43,0.59,3,Retirement,Medium,18,3,"['Bonds', 'ETFs']",0.18,309411.46
baf1a1fd-995a-4759-b06c-325fe027a59b,54,Female,Retired,94990.94,0.16,6,Wealth Accumulation,High,13,0,"['ETFs', 'Real Estate']",0.1,434405.6
97a45f5e-5b6d-499c-b265-4e54a5665e86,59,Female,Retired,53433.34,0.43,6,Home Purchase,Medium,15,3,"['Stocks', 'Bonds']",0.07,233934.82
32cd4365-531b-4dad-90b9-3d631a92b708,34,Other,Unemployed,62475.22,0.29,3,Education,Medium,21,2,"['ETFs', 'Stocks']",0.27,224064.69
4e8e8940-c934-4973-91fe-e9e7d7fe936a,27,Female,Retired,73991.71,0.25,8,Education,Low,14,0,"['ETFs', 'Stocks']",0.28,195078.14
5283d2ef-c9da-472a-95bf-5d3dcf72314e,29,Other,Unemployed,63146.24,0.55,4,Home Purchase,Low,19,1,"['Real Estate', 'Mutual Funds']",0.11,179612.73
22c62bd2-d441-4d4c-81b4-652c500cad2c,59,Female,Unemployed,58001.6,0.28,10,Retirement,Low,13,2,"['Real Estate', 'Bonds']",0.28,382583.24
b3b3a7bb-8606-4b29-8e30-0ee4b7088088,30,Female,Unemployed,83240.64,0.15,5,Retirement,Low,11,3,"['Real Estate', 'Bonds']",0.19,448910.05
91236b63-e615-4bef-b5ca-be166daa79f3,64,Female,Salaried,61705.91,0.1,10,Home Purchase,Low,11,1,"['Stocks', 'ETFs']",0.12,438921.87
0d04d9fb-6ae4-4e22-99ae-40eb19438e3a,47,Other,Self-Employed,43542.59,0.33,4,Home Purchase,High,29,2,"['Mutual Funds', 'Real Estate']",0.27,388726.11
65b96bc7-4ba8-4647-a589-fc981d73c722,42,Female,Unemployed,51705.83,0.29,4,Wealth Accumulation,Medium,27,2,"['Bonds', 'ETFs']",0.17,251997.48
9b985b4a-460c-4ac6-9789-e4c4ef1e56e7,57,Other,Self-Employed,122479.63,0.35,7,Retirement,Low,7,1,"['ETFs', 'Mutual Funds']",0.19,389422.94
8e09a8e6-116c-4e62-8a88-af89911822cf,45,Other,Retired,119457.02,0.38,8,Retirement,Low,20,0,"['Mutual Funds', 'ETFs']",0.23,454669.61
ea2ed1bf-f8eb-406f-9dbb-ba5dad6eea41,63,Female,Unemployed,95019.18,0.3,6,Education,Medium,9,1,"['Real Estate', 'ETFs']",0.22,411431.97
8f24705f-e67b-46b5-be77-a16a3d62b156,47,Female,Self-Employed,79675.62,0.13,4,Wealth Accumulation,Medium,23,3,"['Bonds', 'ETFs']",0.06,349416.08
6c84e2c1-3533-464b-be6f-63043899474f,37,Other,Unemployed,36880.66,0.58,4,Home Purchase,Medium,28,0,"['Bonds', 'ETFs']",0.29,302551.12
f30e27a4-46a0-4823-ae32-c14ad5c29f0f,37,Male,Retired,36354.91,0.41,1,Retirement,High,11,1,"['ETFs', 'Stocks']",0.12,98727.08
ae004fb8-e531-42d5-b0d2-5fac716d7ed9,51,Female,Salaried,107938.74,0.23,8,Wealth Accumulation,Medium,11,0,"['Bonds', 'Stocks']",0.19,797138.78
d01467d4-bb41-41ba-96bf-62efeff0873d,28,Female,Retired,92822.53,0.17,3,Home Purchase,Medium,25,1,"['Mutual Funds', 'ETFs']",0.28,503456.08
272b4949-9f38-41f2-b03c-d3616bd775cf,54,Other,Unemployed,77082.89,0.44,5,Retirement,Medium,9,3,"['Bonds', 'Mutual Funds']",0.1,360385.22
16d89b2e-61b8-4d3e-84b5-4531f0f56c72,57,Other,Salaried,56629.58,0.29,6,Home Purchase,High,26,2,"['Stocks', 'ETFs']",0.22,507316.33
a292a55b-02fe-462b-b775-dd8e4428afaf,38,Female,Salaried,70969.98,0.38,7,Retirement,Medium,23,0,"['Stocks', 'Mutual Funds']",0.24,406548.99
1f349572-8687-4e12-9877-67d9ff1aed5f,29,Female,Self-Employed,102362.33,0.16,2,Wealth Accumulation,Medium,15,3,"['Real Estate', 'Bonds']",0.23,276362.08
5febe90d-24de-4e7a-83bd-386e98136262,38,Male,Unemployed,79728.32,0.12,8,Wealth Accumulation,Medium,9,1,"['Real Estate', 'Bonds']",0.25,266361.36
d1c86f03-abc9-4630-b962-58687fcd13e3,28,Other,Retired,119650.91,0.51,3,Home Purchase,Low,24,1,"['Stocks', 'ETFs']",0.23,1086552.21
ebe8e46a-b02a-451c-89a9-b2c311f5846f,31,Other,Self-Employed,78681.16,0.44,8,Retirement,Medium,11,2,"['Mutual Funds', 'Real Estate']",0.07,529493.21
207d5ef1-1cc6-4a09-9164-e43a347b17a0,37,Female,Retired,92964.08,0.41,5,Home Purchase,High,18,2,"['Bonds', 'ETFs']",0.28,428526.61
dbd7dc94-fd62-4876-bf4b-3e6a30aa30d9,26,Male,Self-Employed,63443.41,0.51,3,Home Purchase,Medium,25,3,"['Real Estate', 'Mutual Funds']",0.13,555347.33
c8ace516-db0a-4b94-a6bf-24940cfd7c9c,56,Female,Salaried,45141.59,0.21,7,Home Purchase,Low,16,3,"['Real Estate', 'Stocks']",0.12,196912.08
cd9c04ce-ad2a-4471-a149-8edc3c62c6ef,32,Other,Unemployed,67393.49,0.1,7,Education,Medium,19,2,"['Bonds', 'Mutual Funds']",0.19,295318.69
af8c0c6e-055d-42e9-8ced-95ad0e27e44a,55,Male,Retired,39339.7,0.53,1,Wealth Accumulation,Medium,24,0,"['Stocks', 'Mutual Funds']",0.2,327232.51
302a021e-799f-4b9b-b92e-ddc905a627aa,47,Male,Retired,57477.51,0.55,3,Wealth Accumulation,Low,18,1,"['Mutual Funds', 'Real Estate']",0.06,403787.01
67bad568-db07-40e7-896c-b69482079607,63,Male,Self-Employed,84225.87,0.57,8,Wealth Accumulation,Medium,5,1,"['Mutual Funds', 'Real Estate']",0.19,456161.47
fa73ccae-b17a-4abd-8477-7cac69b2a432,63,Female,Unemployed,113878.43,0.23,8,Education,Medium,28,2,"['Mutual Funds', 'Stocks']",0.17,680371.22
e106aa0d-7e06-4d4b-8837-5e77d40358a5,58,Male,Self-Employed,84875.09,0.54,3,Wealth Accumulation,High,25,0,"['ETFs', 'Mutual Funds']",0.22,337497.86
6bd11773-ffa5-4827-ba07-bf4f4c589f05,41,Female,Salaried,76242.44,0.41,10,Education,Medium,26,1,"['ETFs', 'Mutual Funds']",0.28,279483.57
274b4780-22aa-42dc-b24e-251429a7c58e,41,Other,Retired,61398.89,0.19,9,Home Purchase,High,29,2,"['Mutual Funds', 'Stocks']",0.15,321818.23
4155cd18-6ce2-4537-bbcc-3d5ae9ec554c,59,Female,Salaried,97715.26,0.13,6,Education,High,18,1,"['Bonds', 'Stocks']",0.13,400211.43
94bc64c6-72b2-4828-9285-ac8ff0e29e0a,44,Female,Retired,84636.74,0.32,9,Home Purchase,Low,10,3,"['Stocks', 'Real Estate']",0.11,809485.19
6fee9675-be7a-42db-a8bc-2ead0d779e41,35,Female,Salaried,49815.61,0.38,10,Retirement,Low,17,1,"['Real Estate', 'Bonds']",0.25,402845.55
c1148f03-4dab-4111-a1e3-008eaa0721b0,32,Female,Unemployed,92139.42,0.43,4,Wealth Accumulation,High,15,3,"['Stocks', 'ETFs']",0.16,761557.78
c7febf3b-b375-4fb9-bb20-98bc2d6fa25d,28,Female,Salaried,69595.41,0.36,6,Education,Low,14,2,"['ETFs', 'Bonds']",0.13,487431.47
9476784a-80dd-4c30-a2c9-66412be9dc5d,43,Male,Retired,94634.06,0.23,2,Education,Low,15,2,"['Mutual Funds', 'Bonds']",0.1,498684.62
